Country,Augusta,Busselton,Busselton Region,Margaret River,Australind - Leschenault,Bunbury,Capel,College Grove - Carey Park,Collie,Dardanup,Davenport,Eaton - Pelican Point,Gelorup - Dalyellup - Stratham,Harvey,Koombana,Waroona,Bridgetown - Boyup Brook,Donnybrook - Balingup,Manjimup,Pemberton,Dawesville - Bouvard,Falcon - Wannanup,Greenfields,Halls Head - Erskine,Mandurah,Mandurah - East,Mandurah - North,Mandurah - South,Pinjarra,City Beach,Claremont (WA),Cottesloe,Floreat,Mosman Park - Peppermint Grove,Nedlands - Dalkeith - Crawley,Swanbourne - Mount Claremont,Kings Park (WA),Mount Hawthorn - Leederville,Mount Lawley - Inglewood,North Perth,Perth City,Subiaco - Shenton Park,Wembley - West Leederville - Glendalough,Bassendean - Eden Hill - Ashfield,Bayswater - Embleton - Bedford,Maylands,Morley,Noranda,Chidlow,Glen Forrest - Darlington,Helena Valley - Koongamia,Malmalling - Reservoir,Mundaring,Swan View - Greenmount - Midvale,Avon Valley National Park,Ballajura,Beechboro,Bullsbrook,Ellenbrook,Gidgegannup,Hazelmere - South Guildford,Lockridge - Kiara,Malaga,Melaleuca - Lexia,Middle Swan - Herne Hill,Midland - Guildford,Stratton - Jane Brook,The Vines,Walyunga National Park,Craigie - Beldon,Currambine - Kinross,Duncraig,Greenwood - Warwick,Heathridge - Connolly,Hillarys,Iluka - Burns Beach,Joondalup - Edgewater,Kingsley,Mullaloo - Kallaroo,Ocean Reef,Padbury,Sorrento - Marmion,Woodvale,Balcatta - Hamersley,Balga - Mirrabooka,Dianella,Herdsman,Innaloo - Doubleview,Karrinyup - Gwelup - Carine,Nollamara - Westminster,Osborne Park Industrial,Scarborough,Stirling - Osborne Park,Trigg - North Beach - Watermans Bay,Tuart Hill - Joondanna,Wembley Downs - Churchlands - Woodlands,Yokine - Coolbinia - Menora,Alexander Heights - Koondoola,Butler - Merriwa - Ridgewood,Carramar,Clarkson,Girrawheen,Madeley - Darch - Landsdale,Marangaroo,Mindarie - Quinns Rocks - Jindalee,Neerabup National Park,Tapping - Ashby - Sinagra,Wanneroo,Yanchep,Armadale - Wungong - Brookdale,Ashendon - Lesley,Camillo - Champion Lakes,Forrestdale - Harrisdale - Piara Waters,Kelmscott,Mount Nasura - Mount Richon - Bedfordale,Roleystone,Seville Grove,Belmont - Ascot - Redcliffe,East Victoria Park - Carlisle,Kewdale Commercial,Perth Airport,Rivervale - Kewdale - Cloverdale,Victoria Park - Lathlain - Burswood,Bentley - Wilson - St James,Canning Vale - West,Canning Vale Commercial,Cannington - Queens Park,Parkwood - Ferndale - Lynwood,Riverton - Shelley - Rossmoyne,Welshpool,Willetton,Beckenham - Kenwick - Langford,Canning Vale - East,Gosnells,Huntingdale - Southern River,Maddington - Orange Grove - Martin,Thornlie,Forrestfield - Wattle Grove,High Wycombe,Kalamunda - Maida Vale - Gooseberry Hill,Lesmurdie - Bickley - Carmel,Byford,Mundijong,Serpentine - Jarrahdale,Como,Manning - Waterford,South Perth - Kensington,Banjup,Beeliar,Bibra Industrial,Bibra Lake,Coogee,Coolbellup,Hamilton Hill,Henderson,Jandakot,Jandakot Airport,North Coogee,South Lake - Cockburn Central,Spearwood,Success - Hammond Park,Wattleup,Yangebup,East Fremantle,Fremantle,Fremantle - South,O'Connor (WA),Anketell - Wandi,Bertram - Wellard (West),Calista,Casuarina - Wellard (East),Hope Valley - Postans,Kwinana Industrial,Parmelia - Orelia,Applecross - Ardross,Bateman,Bicton - Palmyra,Booragoon,Bull Creek,Leeming,Melville,Murdoch - Kardinya,Willagee,Winthrop,Baldivis,Cooloongup,Port Kennedy,Rockingham,Rockingham Lakes,Safety Bay - Shoalwater,Singleton - Golden Bay - Secret Harbour,Waikiki,Warnbro,Esperance,Esperance Region,Carnarvon,Exmouth,Boulder,Kalgoorlie,Kalgoorlie - North,Kalgoorlie Airport,Kambalda - Coolgardie - Norseman,Leinster - Leonora,Trafalgar (WA),Broome,Derby - West Kimberley,Halls Creek,Kununurra,Roebuck,Geraldton,Geraldton - East,Geraldton - North,Geraldton - South,Irwin,Meekatharra,Morawa,Northampton - Mullewa - Greenough,Ashburton (WA),East Pilbara,Karratha,Newman,Port Hedland,Roebourne,South Hedland,Albany,Albany Region,Bayonet Head - Lower King,Denmark,Gnowangerup,Katanning,Kojonup,Little Grove - Elleker,McKail - Willyung,Plantagenet,Stirling Range National Park,Chittering,Cunderdin,Dowerin,Gingin - Dandaragan,Merredin,Moora,Mukinbudin,Northam,Toodyay,York - Beverley,Brookton,Kulin,Murray,Narrogin,Wagin,Migratory - Offshore - Shipping (WA),No Usual Address (WA)
United Kingdom,425,1931,720,611,1232,1295,373,400,492,237,0,665,835,531,388,285,723,556,336,470,732,903,1108,2589,1054,601,1808,1163,846,638,748,680,644,1024,1510,906,6,837,1391,568,2210,1691,1297,1316,1674,972,1313,454,396,1134,501,0,1764,1072,0,1345,833,614,2575,294,419,502,0,0,403,790,507,954,0,1363,3631,2114,1479,2243,1744,1846,2975,2069,2527,2044,1154,1108,1882,924,789,1279,0,1289,1971,761,0,1306,737,700,706,1168,1002,789,4330,2704,1961,546,1504,592,4880,0,3103,3755,1503,1863,0,605,862,1501,1513,1287,880,980,1090,0,0,1416,1055,1229,992,0,687,1569,1292,0,1502,1146,1993,2069,1574,1062,2559,1451,1108,2534,1558,1098,704,540,1092,728,1543,1379,510,3,0,705,681,796,0,299,0,79,940,669,1027,34,568,729,1519,1345,0,119,729,894,201,3,0,1318,1063,298,1461,1423,728,1252,1509,851,357,461,2970,1353,2295,2954,0,2138,3389,1941,1719,608,208,206,273,216,420,379,0,203,193,0,562,129,29,283,43,619,320,317,528,260,197,228,412,486,360,743,182,189,226,270,1274,286,428,704,78,189,217,343,713,464,0,628,221,187,667,223,199,167,710,518,471,216,183,156,221,288,43,754
Isle of Man,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,3,0,12,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,5,3,0,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,5,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jersey,0,0,0,0,0,9,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,4,0,3,0,0,4,3,3,0,9,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,3,0,0,8,0,3,0,3,5,0,0,3,0,3,0,4,3,5,3,0,0,3,0,0,0,0,0,0,9,0,0,9,0,3,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,5,4,4,0,0,3,0,3,4,3,0,0,0,0,0,12,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,3,0,0,3,0,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,15,60,44,28,62,87,4,26,23,6,0,21,45,21,18,7,27,14,5,12,16,27,29,82,38,10,65,23,23,32,65,56,67,114,91,37,0,204,200,108,764,172,361,110,184,183,105,30,4,27,11,0,51,45,0,65,51,5,100,7,13,30,0,0,10,44,15,21,0,151,180,149,130,169,108,122,221,115,150,133,80,102,86,108,65,144,0,206,151,95,0,305,86,52,168,99,140,35,161,105,72,26,60,35,161,0,202,235,37,52,0,12,31,51,45,36,26,125,146,0,0,138,142,89,40,0,55,75,51,0,94,43,91,72,72,65,125,87,68,141,67,21,12,17,106,61,188,48,26,0,0,34,38,61,0,9,0,3,46,46,49,0,47,70,128,115,0,4,28,15,6,0,0,30,66,17,93,89,30,72,114,67,20,21,59,37,60,91,0,60,73,47,30,22,15,8,11,13,46,44,0,23,17,0,41,15,4,21,5,29,9,14,37,10,9,26,10,57,46,77,48,20,19,18,25,7,7,16,8,3,3,13,6,11,0,19,5,12,18,7,12,12,19,15,15,3,14,18,11,4,3,126
Austria,8,19,8,3,3,9,3,5,7,0,0,3,3,3,4,0,4,3,3,0,7,4,9,13,3,0,3,5,0,4,4,11,0,7,12,8,0,13,9,3,31,14,9,13,16,16,13,5,0,11,3,0,3,6,0,7,6,5,10,3,0,0,0,0,4,5,0,3,0,10,13,15,13,3,16,4,11,10,8,10,9,3,7,9,3,13,0,16,17,5,0,8,7,5,9,14,16,8,0,6,5,3,10,3,5,0,8,11,3,6,0,0,0,15,10,13,3,12,8,0,0,15,12,8,0,0,6,0,15,0,3,14,12,16,3,10,18,14,11,15,8,8,3,0,11,3,13,9,3,0,0,0,8,7,0,0,0,0,4,14,0,0,7,9,13,14,0,0,6,7,0,0,0,5,13,6,3,13,3,8,28,12,3,0,7,8,3,10,0,4,3,6,3,4,0,3,0,4,5,0,0,0,0,0,3,5,0,8,0,5,4,9,3,3,4,0,3,11,3,0,0,0,0,3,3,0,6,5,0,0,0,0,3,9,0,3,0,3,7,3,0,0,18,5,3,0,0,3,3,0,0,5
Belgium,0,4,8,3,0,4,4,0,0,0,0,0,3,3,0,0,0,4,3,0,0,0,3,7,0,0,0,0,0,8,3,3,5,11,20,8,0,4,14,3,24,5,7,6,6,3,10,0,0,3,0,0,4,4,0,0,3,3,6,0,0,0,0,0,0,4,0,4,0,4,3,5,8,8,7,0,4,5,3,8,3,0,0,6,0,5,0,8,14,3,0,13,3,5,0,4,3,0,11,3,3,0,7,5,10,0,4,5,4,0,0,0,0,0,3,5,0,6,7,0,0,3,8,9,0,0,3,6,3,0,11,0,3,7,0,3,3,10,3,8,6,0,3,0,3,9,8,0,0,0,0,3,0,4,0,0,0,0,4,0,0,3,0,0,13,10,0,0,6,0,0,0,0,0,0,0,7,5,3,0,10,3,0,3,3,3,5,0,0,5,3,0,0,16,3,0,0,4,0,0,0,4,0,0,0,0,0,7,0,3,0,0,0,3,0,0,3,0,3,4,0,5,0,0,0,4,0,3,0,0,0,0,8,0,0,4,0,3,0,3,0,0,0,3,3,0,0,0,0,0,0,3
France,13,20,22,24,12,20,3,3,6,5,0,3,3,4,3,3,13,8,0,0,3,3,6,10,6,4,8,7,0,17,18,29,17,29,77,25,0,19,38,20,128,70,39,24,35,29,18,3,9,14,4,0,16,7,0,23,7,0,7,9,0,4,0,0,7,16,0,4,0,11,11,22,11,13,21,5,20,12,20,6,10,4,9,21,10,23,0,33,23,11,0,43,16,17,24,25,15,4,3,3,6,0,19,8,10,0,13,25,9,11,0,9,10,14,9,13,9,8,19,0,0,28,36,19,9,0,13,7,5,0,8,8,12,15,12,8,19,10,4,23,14,11,3,0,28,22,50,8,6,0,0,12,28,34,0,0,0,0,6,18,7,0,6,18,64,53,0,3,8,3,0,0,0,8,23,11,27,31,10,13,26,35,3,3,9,3,12,19,0,9,4,4,4,4,0,16,10,4,4,8,0,3,3,0,27,8,3,19,3,11,3,6,6,0,0,0,0,12,7,10,0,4,3,7,9,0,0,5,0,0,7,0,0,3,0,4,0,0,11,0,0,3,10,0,4,3,3,0,0,0,0,27
Germany,40,108,60,60,49,73,18,31,61,11,0,26,30,29,24,15,25,35,18,35,16,33,44,89,33,25,39,53,27,38,51,47,33,63,83,63,0,58,99,45,190,107,85,81,133,90,103,40,14,59,34,0,100,102,0,46,64,20,88,19,26,38,0,0,19,45,26,30,0,75,54,96,92,54,81,18,108,80,96,43,85,62,33,65,65,111,0,85,144,71,0,132,38,37,47,62,75,27,72,46,53,26,52,34,92,0,63,134,68,79,0,21,8,54,74,41,36,76,71,0,0,116,75,70,33,0,45,61,64,0,71,75,35,87,52,45,93,73,40,120,73,29,31,10,69,39,89,43,10,0,0,39,44,81,0,0,0,11,41,44,26,3,39,43,98,99,0,4,14,46,15,0,0,57,42,8,84,64,34,44,82,62,30,15,88,48,48,99,0,49,63,38,44,47,25,18,34,25,34,32,0,24,7,0,71,11,4,48,9,52,15,34,23,10,14,6,29,25,28,36,16,16,16,18,107,21,22,51,7,16,7,18,53,35,0,26,17,3,48,12,5,9,80,36,22,16,10,8,24,17,0,78
Liechtenstein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,18,88,27,29,47,93,17,22,20,22,0,53,32,34,19,16,39,22,12,23,31,35,69,120,43,26,54,59,56,47,34,29,45,44,89,57,0,32,50,31,96,78,82,77,108,44,114,25,23,62,31,0,83,57,0,56,39,16,75,13,24,32,0,0,22,48,26,22,0,46,40,64,66,41,35,29,87,75,54,27,52,54,27,53,49,91,0,43,112,49,0,48,32,37,25,68,61,39,72,19,18,25,39,24,57,0,40,114,46,230,0,44,17,107,129,75,49,53,50,0,0,67,58,89,40,0,56,57,87,0,64,66,62,134,49,107,140,88,57,93,78,87,46,23,47,50,59,41,19,0,0,31,48,40,0,10,0,0,34,39,31,8,13,34,68,57,0,16,21,35,8,0,0,41,42,26,60,68,27,35,54,35,26,26,96,43,50,93,0,75,48,49,53,32,11,25,28,14,16,4,0,4,12,0,30,4,0,19,5,48,18,21,26,15,16,9,25,25,11,34,7,9,7,9,141,29,24,40,7,18,9,31,71,26,0,34,18,22,37,18,18,9,60,31,39,18,22,16,8,18,0,44
Switzerland,7,17,24,9,9,4,0,0,0,0,0,4,11,3,0,0,8,3,3,13,7,3,9,15,6,4,17,3,3,8,21,16,9,14,14,14,0,3,24,14,40,39,22,12,13,11,17,10,4,18,0,0,15,8,0,3,10,9,3,3,4,4,0,0,3,12,3,5,0,14,14,35,17,13,21,9,27,13,13,20,4,9,8,8,7,17,0,18,26,10,0,33,6,9,15,26,12,3,19,0,3,6,14,4,17,0,3,22,10,9,0,0,10,10,23,19,0,6,23,0,0,20,13,13,8,0,7,6,17,0,15,6,4,11,5,9,4,18,3,39,20,0,7,7,15,11,24,3,3,0,0,0,9,17,0,0,0,0,9,6,4,0,4,7,22,21,0,0,3,11,0,0,0,4,13,0,18,13,0,3,3,9,3,0,9,0,8,4,0,6,6,3,3,7,5,0,3,0,3,0,0,0,3,0,17,4,0,7,3,3,0,8,4,3,0,0,8,6,3,0,0,0,3,0,8,5,7,10,3,0,0,3,3,5,0,8,0,0,5,0,0,0,11,0,3,5,3,3,0,3,0,14
Denmark,0,19,4,8,3,3,0,3,3,0,0,0,5,4,0,4,7,9,7,8,3,4,5,10,5,0,4,7,3,0,4,3,18,3,6,5,0,3,6,3,27,13,11,4,16,10,7,0,4,7,7,0,17,3,0,6,3,6,7,3,3,0,0,0,3,8,3,3,0,7,7,7,4,13,3,3,8,6,4,5,4,6,0,6,8,3,0,9,11,11,0,8,6,8,4,7,11,0,5,0,10,0,9,10,13,0,3,12,0,6,0,11,4,7,7,10,3,3,5,0,0,6,6,3,0,0,0,10,11,0,10,5,3,12,11,9,10,10,0,24,9,4,3,0,4,3,12,4,0,0,0,6,4,8,0,3,0,0,4,3,0,6,3,3,16,19,0,0,3,5,0,0,0,16,5,7,7,4,5,10,14,3,3,0,4,10,3,24,0,12,10,6,10,7,3,0,0,0,5,3,0,7,0,0,3,0,0,8,0,7,0,3,0,0,0,0,4,3,0,4,3,4,0,4,3,0,5,6,3,3,0,0,0,6,0,8,3,0,12,0,3,0,5,4,3,0,0,0,3,7,0,3
Faroe Is.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,0,0,4,0,4,3,3,0,0,0,0,8,0,3,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,3,0,6,0,0,0,0,8,0,11,6,10,3,3,4,5,0,0,8,0,0,3,3,0,0,3,0,0,0,0,0,0,0,3,4,0,3,0,0,0,6,0,0,3,0,7,3,9,0,3,3,3,3,6,5,0,0,5,4,0,6,4,0,9,3,0,0,4,0,0,3,0,0,3,0,0,0,4,4,0,0,0,3,0,3,3,10,7,0,0,5,3,8,0,0,3,8,0,0,4,3,0,5,0,0,5,5,3,0,0,6,0,3,4,4,6,6,0,0,0,3,7,7,0,0,0,0,0,3,0,0,0,0,3,6,0,0,3,5,0,0,0,7,0,0,4,0,0,3,4,0,0,0,0,3,0,9,0,10,0,4,3,0,0,3,3,0,5,0,0,0,0,0,5,0,0,3,0,10,3,0,3,0,3,3,0,0,4,3,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,4,0,0,4
Greenland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland,0,0,0,0,0,3,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,3,0,0,5,0,0,4,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Norway,0,0,0,0,5,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,5,9,13,6,12,15,9,0,9,10,0,20,18,22,0,3,4,0,0,0,0,0,0,0,6,0,6,0,3,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,14,0,5,0,3,3,7,7,3,6,0,3,0,6,5,0,0,9,0,11,0,11,0,3,3,5,3,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,3,0,0,0,8,19,0,0,0,6,0,0,5,3,0,4,0,0,3,4,3,0,5,0,0,3,3,9,26,9,3,0,0,0,3,4,0,0,0,0,7,0,0,0,0,0,7,6,0,0,0,0,0,0,0,0,11,0,12,11,0,6,6,8,0,0,7,0,0,3,0,3,4,7,0,3,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
