Country,Aranda,Belconnen,Bruce,Charnwood,Cook,Dunlop,Evatt,Florey,Flynn (ACT),Fraser,Giralang,Gooromon,Hawker,Higgins,Holt,Kaleen,Latham,Lawson,Macgregor (ACT),Macquarie,McKellar,Melba,Page,Scullin,Spence,Weetangera,Molonglo Corridor,West Belconnen,Hume,Kowen,Canberra East,Canberra Airport,Majura,Amaroo,Bonner,Casey,Crace,Forde,Franklin,Gungahlin,Hall,Harrison,Mitchell,Ngunnawal,Nicholls,Palmerston,Gungahlin - East,Gungahlin - West,Jacka,Kenny,Moncrieff,Taylor,Throsby,Acton,Ainslie,Braddon,Civic,Dickson,Downer,Hackett,Lyneham,O'Connor (ACT),Turner,Watson,Black Mountain,Campbell,Duntroon,Parkes (ACT) - North,Reid,Russell,Deakin,Forrest,Griffith (ACT),Lake Burley Griffin,Narrabundah,Parkes (ACT) - South,Red Hill (ACT),Yarralumla,Barton,Fyshwick,Kingston (ACT),Banks,Bonython,Calwell,Chisholm,Conder,Fadden,Gilmore,Gordon (ACT),Gowrie (ACT),Greenway,Isabella Plains,Kambah,Macarthur,Monash,Mount Taylor,Oxley (ACT),Richardson,Theodore,Tuggeranong,Wanniassa,Tuggeranong - West,Chapman,Duffy,Fisher,Holder,Rivett,Stirling,Waramanga,Weston,Scrivener,Chifley,Curtin,Farrer,Garran,Hughes,Isaacs,Lyons (ACT),Mawson,O'Malley,Pearce,Phillip,Torrens,Arboretum,Coombs,Denman Prospect,Molonglo,Molonglo - North,Wright,ACT - South West,Namadgi,Migratory - Offshore - Shipping (ACT),No Usual Address (ACT)
New Zealand,27,73,72,39,26,69,44,60,38,23,46,0,24,27,59,69,42,3,89,30,33,46,27,18,26,38,0,0,7,0,28,3,0,66,75,49,34,46,59,77,3,87,0,110,92,48,0,0,7,0,0,0,0,36,77,63,58,26,49,44,76,85,65,96,0,48,34,0,20,0,41,21,71,0,88,0,23,47,18,0,73,51,31,63,64,69,30,33,72,35,21,53,183,11,64,0,16,49,44,0,103,0,27,32,36,47,31,21,28,32,0,25,53,41,52,54,32,41,32,13,42,28,23,0,15,0,0,0,36,9,0,0,8
New Caledonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Papua New Guinea,5,21,26,3,4,3,9,6,7,0,3,0,10,3,8,13,9,0,9,5,5,10,8,5,9,3,0,0,0,0,0,4,0,12,3,3,6,0,3,4,0,18,0,17,14,4,0,0,0,0,0,0,0,4,15,4,3,7,11,10,11,12,3,17,0,8,11,0,3,0,6,4,7,0,15,0,0,4,3,0,7,0,7,10,3,3,8,0,9,3,5,9,36,5,8,0,3,0,3,0,15,0,3,9,9,23,3,3,0,19,0,0,7,6,8,6,5,8,0,0,5,9,3,0,0,0,0,0,0,0,0,0,0
Solomon Is.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanuatu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kiribati,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Micronesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N. Mariana Is.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiji,0,14,16,3,0,37,5,16,11,0,8,0,6,10,13,14,4,0,20,14,8,7,10,8,11,6,0,0,0,0,6,0,0,17,32,34,18,7,27,20,0,28,0,44,21,11,0,0,3,0,0,0,0,3,6,11,6,0,3,0,13,3,12,31,0,3,9,0,0,0,4,4,3,0,12,0,11,4,0,0,8,0,7,7,14,12,0,4,27,0,3,3,9,0,20,0,0,9,12,0,14,0,4,0,0,4,0,0,6,3,0,0,5,13,16,6,5,0,13,9,3,10,11,0,0,0,0,0,6,0,0,0,0
Fr. Polynesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samoa,0,3,0,0,0,6,3,5,5,0,3,0,6,3,0,19,0,0,3,5,5,0,0,0,6,0,0,0,3,0,0,0,0,7,0,3,0,0,3,6,0,11,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,6,11,4,0,4,0,0,0,7,18,0,3,0,4,6,6,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,8,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tonga,0,3,0,6,0,13,10,3,8,0,4,0,7,0,3,5,4,0,10,0,10,3,3,3,10,0,0,0,0,0,0,0,0,9,3,0,0,0,0,3,0,4,0,5,6,8,0,0,0,0,0,0,0,0,5,0,0,0,4,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,4,5,0,5,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,4,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0