BPLP,FULL_NAME,CONTINENT
3202,Bosnia and Herzegovina,Europe
5102,Cambodia,Asia
8102,Canada,North America
6101,China,Asia
3204,Croatia,Europe
4102,Egypt,Africa
1502,Fiji,Oceania
3206,The former Yugoslav Republic of Macedonia,Europe
2304,Germany,Europe
3207,Greece,Europe
6102,Hong Kong,Asia
7103,India,Asia
5202,Indonesia,Asia
4204,Iraq,Asia
2201,Ireland,Europe
3104,Italy,Europe
6201,Japan,Asia
6203,South Korea,Asia
4208,Lebanon,Asia
5203,Malaysia,Asia
3105,Malta,Europe
2308,Netherlands,Europe
1201,New Zealand,Oceania
5204,Philippines,Asia
3307,Poland,Europe
5205,Singapore,Asia
9225,South Africa,Africa
7107,Sri Lanka,Asia
5104,Thailand,Asia
4215,Turkey,Asia
2100,United Kingdom,Europe
8104,United States,North America
5105,Vietnam,Asia