Country,Adelaide,North Adelaide,Adelaide Hills,Aldgate - Stirling,Hahndorf - Echunga,Lobethal - Woodside,Mount Barker,Mount Barker Region,Nairne,Uraidla - Summertown,Burnside - Wattle Park,Glenside - Beaumont,Toorak Gardens,Athelstone,Paradise - Newton,Rostrevor - Magill,Norwood (SA),Payneham - Felixstow,St Peters - Marden,Nailsworth - Broadview,Prospect,Walkerville,Goodwood - Millswood,Unley - Parkside,Gawler - North,Gawler - South,Lewiston - Two Wells,Craigmore - Blakeview,Davoren Park,Elizabeth,Elizabeth East,Munno Para West - Angle Vale,One Tree Hill,Smithfield - Elizabeth North,Virginia - Waterloo Corner,Enfield - Blair Athol,Northgate - Oakden - Gilles Plains,Windsor Gardens,Dry Creek - North,Ingle Farm,Para Hills,Parafield,Parafield Gardens,Paralowie,Pooraka,Salisbury,Salisbury East,Salisbury North,Golden Grove,Greenwith,Highbury - Dernancourt,Hope Valley - Modbury,Modbury Heights,Redwood Park,St Agnes - Ridgehaven,Brighton (SA),Glenelg (SA),Edwardstown,Hallett Cove,Marino - Seaview Downs,Mitchell Park,Morphettville,Sheidow Park - Trott Park,Warradale,Belair,Bellevue Heights,Blackwood,Colonel Light Gardens,Mitcham (SA),Panorama,Aberfoyle Park,Aldinga,Christie Downs,Christies Beach,Clarendon,Coromandel Valley,Flagstaff Hill,Hackham - Onkaparinga Hills,Hackham West - Huntfield Heights,Happy Valley,Happy Valley Reservoir,Lonsdale,McLaren Vale,Morphett Vale - East,Morphett Vale - West,Reynella,Seaford (SA),Willunga,Woodcroft,Beverley,Flinders Park,Henley Beach,Hindmarsh - Brompton,Royal Park - Hendon - Albert Park,Seaton - Grange,West Lakes,Woodville - Cheltenham,Dry Creek - South,Largs Bay - Semaphore,North Haven,Port Adelaide,The Parks,Torrens Island,Adelaide Airport,Fulham,Lockleys,Plympton,Richmond (SA),West Beach,Barossa - Angaston,Light,Lyndoch,Mallala,Nuriootpa,Tanunda,Clare,Gilbert Valley,Goyder,Wakefield - Barunga West,Jamestown,Peterborough - Mount Remarkable,Port Pirie,Port Pirie Region,Kadina,Moonta,Wallaroo,Yorke Peninsula - North,Yorke Peninsula - South,Ceduna,Eyre Peninsula,Kimba - Cleve - Franklin Harbour,Le Hunte - Elliston,Port Lincoln,West Coast (SA),Western,Whyalla,Whyalla - North,APY Lands,Coober Pedy,Flinders Ranges,Outback,Port Augusta,Roxby Downs,Goolwa - Port Elliot,Kangaroo Island,Strathalbyn,Strathalbyn Region,Victor Harbor,Yankalilla,Grant,Kingston - Robe,Millicent,Mount Gambier,Naracoorte,Naracoorte Region,Penola,Tatiara,Wattle Range,Barmera,Berri,Karoonda - Lameroo,Loxton,Loxton Region,Mannum,Murray Bridge,Murray Bridge Region,Renmark,Renmark Region,The Coorong,Waikerie,Migratory - Offshore - Shipping (SA),No Usual Address (SA)
United Kingdom,645,427,788,1760,374,594,1174,484,346,403,1143,632,948,593,718,938,631,489,698,314,616,493,941,1094,941,2280,469,2142,1219,1272,1818,580,402,1521,390,755,1164,890,0,1182,1688,13,982,990,1174,1415,2407,902,1396,1198,787,1502,2381,2032,1461,1533,1809,544,2198,975,893,856,989,996,528,555,1300,656,967,358,1348,1995,1039,1729,289,540,1379,760,828,1439,0,6,888,1555,1037,1040,3305,443,1234,262,408,925,647,189,822,1079,506,0,1192,1210,507,402,0,0,160,482,1046,525,354,453,680,677,217,277,222,161,320,232,485,196,268,420,123,227,389,176,358,273,66,234,88,46,518,78,0,2504,0,4,58,85,122,399,119,1446,282,542,637,1826,614,130,118,273,917,185,51,98,127,127,223,155,73,129,52,375,538,173,126,124,207,245,0,224
Isle of Man,0,0,0,3,3,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jersey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,3,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,44,37,11,46,13,11,23,5,5,10,38,19,28,28,37,34,25,21,31,13,32,15,37,67,22,41,3,47,21,45,53,3,9,35,7,30,35,44,0,49,37,0,26,26,28,48,42,17,16,23,20,42,36,57,39,67,113,28,49,43,28,39,18,50,12,9,23,26,34,20,23,27,23,40,8,11,35,13,23,41,0,0,19,40,29,23,56,14,23,11,16,62,44,7,34,23,17,0,60,54,31,10,0,0,9,17,59,30,16,11,8,11,3,4,4,3,4,3,3,5,6,3,3,3,7,3,17,3,0,0,3,3,8,0,0,48,0,0,0,3,5,10,5,25,9,25,6,40,16,3,4,9,18,3,0,4,12,0,5,4,16,0,3,7,13,0,9,3,3,3,0,15
Austria,8,6,3,20,3,13,13,3,0,3,22,15,12,12,26,21,7,14,15,0,12,9,14,11,7,9,3,8,13,12,14,0,5,11,0,25,30,30,0,21,18,0,14,17,14,22,14,14,5,4,19,23,26,19,22,15,19,17,20,14,4,9,3,11,5,9,8,11,17,18,11,3,6,5,0,3,8,7,14,7,0,0,9,13,12,7,24,3,3,9,14,10,16,24,18,20,21,0,25,9,12,12,0,0,3,5,17,8,8,3,9,6,0,4,15,0,3,3,3,3,4,3,0,0,3,3,3,5,3,4,3,0,4,3,0,24,0,0,5,0,3,11,3,9,3,5,9,18,5,3,3,3,12,4,6,0,0,3,7,4,4,0,3,0,12,0,0,0,3,5,0,3
Belgium,3,3,0,0,3,0,8,0,4,0,10,3,8,0,5,3,3,3,6,0,0,3,3,8,0,3,5,10,3,0,0,5,0,0,0,6,7,4,0,10,5,0,3,3,8,4,5,4,0,0,0,4,4,5,0,13,19,0,0,6,0,8,0,6,0,0,0,0,3,0,7,18,3,5,0,0,4,0,0,6,0,0,5,3,3,3,3,3,3,0,3,3,3,0,6,8,3,0,6,11,4,4,0,0,0,0,8,5,0,0,4,3,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,3,11,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,3,0,0,0
France,26,21,7,23,4,4,3,0,8,4,20,22,31,7,15,25,10,15,14,7,22,5,28,34,3,11,3,10,3,3,6,0,0,3,0,16,14,11,0,0,10,3,12,3,14,7,3,3,8,3,9,5,9,4,7,19,22,9,14,0,7,8,6,10,9,14,12,19,22,4,0,13,6,11,0,0,7,3,7,14,0,0,4,12,7,3,17,3,10,4,9,8,14,3,16,14,6,0,13,12,11,16,0,0,3,11,21,19,7,3,9,6,0,3,3,0,6,3,7,3,0,4,5,8,0,0,0,8,0,0,0,4,10,0,0,16,0,0,8,0,3,0,0,6,7,0,4,7,6,0,4,0,5,5,0,3,0,0,5,8,0,7,0,3,4,0,0,0,0,0,0,11
Germany,66,59,59,241,65,69,106,55,22,60,123,79,112,76,153,161,70,82,97,29,87,48,111,139,37,115,22,74,66,70,88,28,14,99,28,135,184,162,0,147,106,0,90,47,101,143,114,76,57,64,141,230,154,149,137,101,156,69,136,106,121,68,33,88,47,76,116,94,98,70,72,105,71,107,16,37,85,65,79,99,0,0,47,120,98,85,180,29,63,64,96,112,88,59,98,151,81,0,98,125,108,124,0,0,23,59,133,74,27,35,43,53,9,57,39,17,25,22,39,24,45,36,11,19,18,11,39,32,5,18,12,9,88,7,0,169,0,0,39,22,21,66,3,106,34,25,51,129,52,21,8,26,134,23,4,13,24,14,25,30,5,29,3,56,87,8,31,20,38,36,0,21
Liechtenstein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,38,15,47,120,27,51,91,33,30,39,51,23,56,38,83,77,35,39,31,19,28,25,51,49,40,82,31,71,54,57,74,22,15,72,23,47,76,78,0,87,69,3,47,32,46,106,88,66,46,34,61,113,101,90,80,61,90,43,60,68,73,52,34,131,27,51,66,51,51,24,54,70,58,97,17,30,52,46,52,101,0,0,34,68,80,57,114,20,69,15,30,50,41,19,39,89,37,0,49,48,34,31,0,0,5,27,62,42,22,31,36,23,16,14,16,9,25,18,42,23,32,39,27,23,25,22,22,22,0,30,12,8,57,7,0,119,0,0,5,15,7,40,6,104,25,25,56,86,50,36,6,47,202,19,5,12,18,24,21,16,11,12,7,47,90,18,12,11,34,35,0,15
Switzerland,7,4,7,18,3,3,0,0,4,3,19,3,9,9,9,11,5,0,12,3,3,3,11,19,0,0,3,4,0,0,0,0,0,0,0,9,10,3,0,7,7,0,0,0,0,4,4,3,0,0,4,6,3,3,0,12,16,7,0,3,4,8,0,3,3,8,3,4,10,5,0,6,0,0,7,4,8,0,0,7,0,0,0,7,7,0,7,0,0,0,4,8,3,0,3,3,4,0,11,3,0,8,0,0,0,3,5,5,0,3,4,0,0,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,4,0,3,0,0,3,7,3,9,6,3,0,5,0,3,0,0,0,0,3,0,4,3,0,0,3,0,0,0,0,0,3,0,0
Denmark,7,0,7,16,5,8,12,8,3,3,9,10,3,4,3,3,4,0,5,0,3,0,10,4,7,4,0,0,0,4,0,3,0,3,0,0,7,3,0,3,3,0,7,8,6,3,13,4,3,3,5,10,9,3,7,7,6,0,3,6,0,0,0,7,3,0,9,7,3,3,3,10,3,14,0,4,3,4,3,8,0,0,8,6,11,9,6,10,0,0,4,4,8,0,0,9,0,0,8,9,3,3,0,0,0,4,5,0,0,4,0,0,0,0,0,0,3,3,0,3,0,0,0,4,0,0,0,0,0,0,0,0,7,3,0,21,0,0,0,0,3,3,0,6,0,3,8,3,4,0,0,0,5,0,0,0,0,3,0,0,3,0,0,0,4,0,0,0,0,0,0,0
Faroe Is.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,0,3,3,4,4,0,6,3,0,0,8,3,0,3,4,3,3,7,3,6,3,3,0,0,0,3,4,0,4,3,6,0,0,7,0,6,7,19,0,15,9,0,0,0,0,10,7,3,3,0,13,8,11,3,3,3,3,3,6,3,0,5,0,0,0,0,3,9,3,3,0,3,7,0,0,3,4,3,3,0,0,0,3,5,3,3,4,3,3,0,3,0,3,6,0,0,4,0,0,3,0,3,0,0,0,3,7,7,6,3,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,0,0,5,0,0,0,0,3,3,0,4,0,0,0,3,0,8,0,3,27,0,0,13,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,0
Greenland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,12,3,3,0,0,0,0,0,0,0,3,0,4,0,3,3,5,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,4,6,0,0,6,3,0,0,3,0,3,0,0,0,3,0,0,0,5,0,0,0,0,0,3,7,0,0,3,0,0,0,0,3,0,4,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Sweden,12,6,3,14,4,0,0,0,0,4,8,5,10,7,3,3,4,0,5,0,0,3,6,3,0,3,0,0,0,0,3,0,0,0,0,0,0,11,0,0,3,0,0,0,6,0,0,0,4,0,4,0,3,3,3,26,14,0,12,7,4,8,5,0,0,3,6,3,6,3,0,9,4,6,0,5,7,5,0,5,0,0,3,3,0,0,6,3,0,0,3,8,9,3,5,7,3,0,14,7,0,0,0,0,0,0,10,3,3,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,3,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0,0,0
