Country,Aranda,Belconnen,Bruce,Charnwood,Cook,Dunlop,Evatt,Florey,Flynn (ACT),Fraser,Giralang,Gooromon,Hawker,Higgins,Holt,Kaleen,Latham,Lawson,Macgregor (ACT),Macquarie,McKellar,Melba,Page,Scullin,Spence,Weetangera,ACT - South West,Molonglo,Namadgi,ACT - East,Hume,Kowen,Majura,Amaroo,Bonner,Casey,Crace,Forde,Franklin,Gungahlin,Gungahlin - East,Gungahlin - West,Hall,Harrison,Mitchell,Ngunnawal,Nicholls,Palmerston,Acton,Ainslie,Braddon,Campbell,Civic,Dickson,Downer,Hackett,Lyneham,O'Connor (ACT),Reid,Turner,Watson,Deakin,Forrest,Griffith (ACT),Kingston - Barton,Lake Burley Griffin,Narrabundah,Parkes (ACT),Red Hill (ACT),Yarralumla,Banks,Bonython,Calwell,Chisholm,Conder,Fadden,Gilmore,Gordon (ACT),Gowrie (ACT),Greenway,Isabella Plains,Kambah,Macarthur,Monash,Mount Taylor,Oxley (ACT),Richardson,Theodore,Tuggeranong,Wanniassa,Chapman,Duffy,Fisher,Holder,Rivett,Stirling,Waramanga,Weston,Chifley,Curtin,Farrer,Garran,Hughes,Isaacs,Lyons (ACT),Mawson,O'Malley,Pearce,Phillip,Torrens,Migratory - Offshore - Shipping (ACT),No Usual Address (ACT)
New Zealand,35,41,68,29,35,73,54,45,33,23,35,0,32,32,60,70,41,0,70,27,31,44,22,20,17,34,8,0,0,20,8,0,3,79,21,18,13,17,39,94,0,0,3,81,0,106,81,32,26,80,56,79,31,29,45,45,57,85,25,45,80,56,32,58,66,0,76,0,31,47,48,48,68,81,56,29,31,69,30,24,50,192,12,40,0,28,47,45,0,97,20,33,40,46,38,29,29,29,24,64,52,58,57,27,30,35,9,42,28,32,0,17
New Caledonia,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Papua New Guinea,9,3,10,5,10,10,12,11,8,3,4,0,9,3,8,13,7,0,14,9,7,3,7,8,7,9,0,0,0,0,0,0,0,16,3,0,0,3,4,3,0,0,0,7,0,13,13,8,4,17,4,21,4,3,18,5,8,9,4,12,11,0,0,5,5,0,20,0,6,4,4,15,10,6,5,4,0,12,0,3,3,32,3,4,0,0,3,6,0,13,0,10,8,9,0,12,6,4,3,14,12,11,7,8,7,3,0,7,5,9,0,3
Solomon Is.,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanuatu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Kiribati,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Micronesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N. Mariana Is.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiji,3,13,15,8,0,17,12,25,19,0,12,0,5,20,10,8,3,0,25,7,13,7,17,8,3,4,0,0,0,0,0,0,0,17,10,20,0,15,22,15,0,0,0,20,0,45,40,9,4,7,20,11,8,0,6,6,11,9,0,11,16,0,0,4,6,0,14,0,8,0,0,4,9,8,14,0,0,31,4,0,4,9,0,11,0,0,8,19,0,16,5,5,3,7,0,0,3,4,14,0,4,8,6,7,0,11,11,3,9,4,0,0
Fr. Polynesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samoa,0,3,0,0,0,5,4,5,3,3,0,0,0,0,3,3,4,0,8,3,3,4,0,0,0,4,0,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,0,7,0,3,0,0,3,0,3,0,4,0,0,0,0,3,4,11,4,0,0,0,0,0,4,14,0,0,0,7,12,14,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0
American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tonga,0,0,3,4,0,5,3,0,3,0,8,0,4,3,0,15,0,0,4,0,10,3,0,11,4,0,0,0,0,0,0,0,0,6,0,0,0,0,3,7,0,0,0,0,0,4,4,0,3,9,7,0,0,0,0,0,4,0,0,4,7,0,0,0,5,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,3,0,0,0,0,0,0,3,4,4,6,3,0,0,0,4,0,0,4,0,0,0,0,0,0